시/군/구,동,번지,호,상세주소,우편번호,위도,경도,시설,개통년도,시설속도,고장문의,PSTN,인터넷,TV,VoIP
서울특별시 서초구,양재동,220,10,서초프라임 1층,06747,37.474,127.0389,FTTH,2017,100M,12,O,O,,O
서울특별시 서초구,내곡동,626-25,6,우면스카이 476동 1983호,06800,37.4541,127.0415,Ntopia,2017,100M,6,O,O,,O
서울특별시 서초구,서초동,1362-4-2,5,우면스카이 528동 2042호,06690,37.4931,127.0209,FTTH,2017,10G,0,O,O,O,O
서울특별시 서초구,염곡동,114,10,래미안 리더스원 24층,06766,37.4645,127.0307,FTTH,2024,100M,14,,,O,O
서울특별시 서초구,서초동,1328,4,롯데캐슬 프레지던트 3층,06690,37.4942,127.0283,Ntopia,2017,1G,9,,O,O,O
서울특별시 서초구,서초동,1420,9,서초힐스 528동 240호,06690,37.4959,127.0252,FTTH,2015,500M,15,,O,,O
서울특별시 서초구,염곡동,118,7,양재스퀘어 714동 1173호,06766,37.4616,127.0394,Ntopia,2021,500M,8,O,O,O,O
서울특별시 서초구,서초동,1424,8,서초프라임 650동 1306호,06690,37.4965,127.026,LAN,2022,500M,8,O,,,
서울특별시 서초구,서초동,1348,8,방배그랑시티 344동 1226호,06690,37.4963,127.0238,FTTH,2025,500M,3,,,,O
서울특별시 서초구,서초동,1404,2,내곡그린 29층,06690,37.4901,127.024,Ntopia,2019,500M,3,,O,,
서울특별시 서초구,방배동,883,1,방배그랑시티 4층,06692,37.4825,126.9993,LAN,2020,1G,8,,O,O,
서울특별시 서초구,방배동,875,9,염곡힐스테이트 326동 1641호,06692,37.4824,126.9932,Ntopia,2023,1G,5,,,O,
서울특별시 서초구,서초동,1356,10,삼성아파트 12층,06690,37.4901,127.0243,FTTH,2023,10G,3,O,O,O,
서울특별시 서초구,반포동,88,2,서초힐스 417동 1176호,06504,37.5079,126.99,Ntopia,2022,1G,14,O,,,O
서울특별시 서초구,서초동,1311,8,서초프라임 183동 1696호,06690,37.497,127.0297,FTTH,2015,500M,1,,,O,O
서울특별시 서초구,방배동,891-8,6,양재스퀘어 21층,06692,37.484,126.9985,Ntopia,2018,100M,8,O,,O,O
서울특별시 서초구,서초동,1398,5,방배그랑시티 3층,06690,37.4947,127.0295,LAN,2019,100M,1,,O,O,O
서울특별시 서초구,서초동,1406,2,신원로얄 9층,06690,37.4996,127.0292,Ntopia,2025,500M,0,,O,,O
서울특별시 서초구,반포동,69-14,6,서초로얄맨션 803동 2568호,06504,37.5022,126.9976,Ntopia,2020,10G,15,O,O,,
서울특별시 서초구,서초동,1337-10,7,반포센트럴 543동 2296호,06690,37.499,127.0242,FTTH,2017,100M,3,O,O,O,O
서울특별시 서초구,내곡동,622-10-4,2,서초힐스 855동 897호,06800,37.4511,127.0432,FTTH,2024,10G,2,O,O,O,
서울특별시 서초구,서초동,1409-19-1,7,내곡휴먼빌 727동 1873호,06690,37.4991,127.0267,Ntopia,2015,500M,3,O,,,
서울특별시 서초구,염곡동,135-10,6,내곡그린 17층,06766,37.4617,127.0311,FTTH,2015,1G,2,O,,O,O
서울특별시 서초구,내곡동,639,5,반포센트럴 148동 1620호,06800,37.4589,127.0458,Ntopia,2025,100M,11,,O,O,O
서울특별시 서초구,서초동,1492,3,서초타워 314동 2706호,06690,37.4958,127.0276,FTTH,2022,500M,11,O,O,O,O
서울특별시 서초구,서초동,1356,7,잠원파크빌 364동 2863호,06690,37.4901,127.0261,Ntopia,2018,1G,15,,O,O,
서울특별시 서초구,서초동,1478,10,서초힐스 24층,06690,37.4959,127.0202,FTTH,2021,500M,0,O,O,O,O
서울특별시 서초구,잠원동,144-11,8,우면프라임 625동 1390호,06510,37.5126,127.0064,Ntopia,2017,100M,11,,,O,
서울특별시 서초구,반포동,73,5,염곡파인힐 603동 868호,06504,37.503,126.997,Ntopia,2017,500M,7,O,O,O,
서울특별시 서초구,서초동,1348,2,서초프라임 361동 2745호,06690,37.4926,127.0271,LAN,2015,500M,15,,,,
서울특별시 서초구,신원동,371,5,염곡파인힐 9층,06765,37.4646,127.0413,FTTH,2025,1G,2,O,,,O
서울특별시 서초구,서초동,1474,8,삼성아파트 3층,06690,37.4972,127.0243,FTTH,2023,1G,8,O,O,O,O
서울특별시 서초구,서초동,1468,2,우면스카이 11층,06690,37.4984,127.0214,Ntopia,2024,1G,8,O,O,,
서울특별시 서초구,서초동,1406,5,염곡파인힐 22층,06690,37.4938,127.0204,Ntopia,2021,1G,4,,O,O,
서울특별시 서초구,양재동,222,2,우면프라임 11층,06747,37.4774,127.0388,LAN,2015,1G,4,O,O,,O
서울특별시 서초구,서초동,1378,6,래미안 리더스원 4층,06690,37.4978,127.0236,Ntopia,2021,1G,6,,,,
서울특별시 서초구,염곡동,198,9,삼성아파트 16층,06766,37.4614,127.032,Ntopia,2023,500M,10,O,O,O,O
서울특별시 서초구,서초동,1326,3,내곡그린 448동 2725호,06690,37.4958,127.0211,FTTH,2019,500M,9,,O,O,O
서울특별시 서초구,서초동,1483,2,내곡그린 642동 2255호,06690,37.4947,127.0257,FTTH,2024,500M,12,O,O,O,
